Kabupaten/Kota,Tahun,Indeks Kedalaman Kemiskinan
Katingan,2021,0.47
Katingan,2022,0.67
Katingan,2023,0.68
Katingan,2024,0.6
Kaur,2018,2.99
Kaur,2019,4.14
Kaur,2020,2.77
Kaur,2021,4.09
Kaur,2022,4.22
Kaur,2023,3.64
Kaur,2024,2.54
Kayong Utara,2018,1.47
Kayong Utara,2019,1.69
Kayong Utara,2020,1.13
Kayong Utara,2021,1.78
Kayong Utara,2022,1.2
Kayong Utara,2023,1.71
Kayong Utara,2024,1.63
Kebumen,2018,2.48
Kebumen,2019,2.58
Kebumen,2020,2.62
Kebumen,2021,3.24
Kebumen,2022,3.41
Kebumen,2023,2.89
Kebumen,2024,2.35
Kediri,2018,1.71
Kediri,2019,1.24
Kediri,2020,1.55
Kediri,2021,1.35
Kediri,2022,1.67
Kediri,2023,1.52
Kediri,2024,1.22
Keerom,2018,3.08
Keerom,2019,2.99
Keerom,2020,2.79
Keerom,2021,3.16
Keerom,2022,2.46
Keerom,2023,3.79
Keerom,2024,3.11
Kendal,2018,1.85
Kendal,2019,1.47
Kendal,2020,1.37
Kendal,2021,1.52
Kendal,2022,1.52
Kendal,2023,1.19
Kendal,2024,0.91
Kepahiang,2018,2.33
Kepahiang,2019,2.54
Kepahiang,2020,1.9
Kepahiang,2021,1.62
Kepahiang,2022,2.2
Kepahiang,2023,1.87
Kepahiang,2024,2.13
Kepulauan Anambas,2018,1.25
Kepulauan Anambas,2019,1.14
Kepulauan Anambas,2020,0.96
Kepulauan Anambas,2021,0.87
Kepulauan Anambas,2022,0.92
Kepulauan Anambas,2023,0.78
Kepulauan Anambas,2024,0.94
Kepulauan Aru,2018,5.99
Kepulauan Aru,2019,4.14
Kepulauan Aru,2020,4.47
Kepulauan Aru,2021,4.73
Kepulauan Aru,2022,2.9
Kepulauan Aru,2023,4.33
Kepulauan Aru,2024,4.56
Kepulauan Mentawai,2018,2.42
Kepulauan Mentawai,2019,1.87
Kepulauan Mentawai,2020,2.84
Kepulauan Mentawai,2021,2.43
Kepulauan Mentawai,2022,1.76
Kepulauan Mentawai,2023,1.98
Kepulauan Mentawai,2024,1.6
Kepulauan Meranti,2018,5.22
Kepulauan Meranti,2019,5.97
Kepulauan Meranti,2020,4.32
Kepulauan Meranti,2021,4.46
Kepulauan Meranti,2022,3.54
Kepulauan Meranti,2023,3.86
Kepulauan Meranti,2024,3.59
Kepulauan Sangihe,2018,2.3
Kepulauan Sangihe,2019,1.52
Kepulauan Sangihe,2020,1.29
Kepulauan Sangihe,2021,1.74
Kepulauan Sangihe,2022,1.43
Kepulauan Sangihe,2023,2.01
Kepulauan Sangihe,2024,0.92
Kepulauan Selayar,2018,2.82
Kepulauan Selayar,2019,2.87
Kepulauan Selayar,2020,2.25
Kepulauan Selayar,2021,2.09
Kepulauan Selayar,2022,2.15
Kepulauan Selayar,2023,2.36
Kepulauan Selayar,2024,1.62
Kepulauan Seribu,2018,1.7
Kepulauan Seribu,2019,1.95
Kepulauan Seribu,2020,2.1
Kepulauan Seribu,2021,2.61
Kepulauan Seribu,2022,1.75
Kepulauan Seribu,2023,1.52
Kepulauan Seribu,2024,1.0
Kepulauan Sula,2018,1.25
Kepulauan Sula,2019,0.93
Kepulauan Sula,2020,0.88
Kepulauan Sula,2021,1.22
Kepulauan Sula,2022,0.76
Kepulauan Sula,2023,0.7
Kepulauan Sula,2024,1.01
Kepulauan Talaud,2018,1.22
Kepulauan Talaud,2019,1.0
Kepulauan Talaud,2020,1.26
Kepulauan Talaud,2021,1.34
Kepulauan Talaud,2022,0.95
Kepulauan Talaud,2023,1.18
Kepulauan Talaud,2024,1.33
Kepulauan Yapen,2018,5.18
Kepulauan Yapen,2019,6.4
Kepulauan Yapen,2020,6.63
Kepulauan Yapen,2021,4.85
Kepulauan Yapen,2022,6.88
Kepulauan Yapen,2023,6.42
Kepulauan Yapen,2024,7.32
Kerinci,2018,0.72
Kerinci,2019,0.59
Kerinci,2020,1.05
Kerinci,2021,0.81
Kerinci,2022,1.22
Kerinci,2023,1.08
Kerinci,2024,1.0
Ketapang,2018,2.0
Ketapang,2019,1.51
Ketapang,2020,1.61
Ketapang,2021,1.42
Ketapang,2022,2.04
Ketapang,2023,1.84
Ketapang,2024,1.49
Klaten,2018,1.72
Klaten,2019,1.46
Klaten,2020,1.66
Klaten,2021,1.79
Klaten,2022,1.86
Klaten,2023,1.7
Klaten,2024,1.46
Klungkung,2018,0.79
Klungkung,2019,0.62
Klungkung,2020,0.67
Klungkung,2021,0.82
Klungkung,2022,0.53
Klungkung,2023,0.58
Klungkung,2024,0.23
Kolaka,2018,2.92
Kolaka,2019,1.79
Kolaka,2020,1.99
Kolaka,2021,3.02
Kolaka,2022,1.54
Kolaka,2023,1.95
Kolaka,2024,1.78
Kolaka Timur,2018,3.55
Kolaka Timur,2019,2.25
Kolaka Timur,2020,2.18
Kolaka Timur,2021,2.18
Kolaka Timur,2022,1.86
Kolaka Timur,2023,2.49
Kolaka Timur,2024,1.87
Kolaka Utara,2018,2.71
Kolaka Utara,2019,3.2
Kolaka Utara,2020,2.28
Kolaka Utara,2021,2.52
Kolaka Utara,2022,2.8
Kolaka Utara,2023,2.93
Kolaka Utara,2024,2.65
Konawe,2018,2.47
Konawe,2019,2.23
Konawe,2020,1.71
Konawe,2021,2.67
Konawe,2022,2.86
Konawe,2023,2.35
Konawe,2024,2.33
Konawe Kepulauan,2018,4.59
Konawe Kepulauan,2019,3.73
Konawe Kepulauan,2020,2.56
Konawe Kepulauan,2021,4.05
Konawe Kepulauan,2022,3.09
Konawe Kepulauan,2023,2.79
Konawe Kepulauan,2024,2.78
Konawe Selatan,2018,1.5
Konawe Selatan,2019,1.65
Konawe Selatan,2020,1.77
Konawe Selatan,2021,1.98
Konawe Selatan,2022,2.18
Konawe Selatan,2023,2.2
Konawe Selatan,2024,1.59
Konawe Utara,2018,2.85
Konawe Utara,2019,2.66
Konawe Utara,2020,2.92
Konawe Utara,2021,2.4
Konawe Utara,2022,2.52
Konawe Utara,2023,2.47
Konawe Utara,2024,2.52
Kota Ambon,2018,0.93
Kota Ambon,2019,0.77
Kota Ambon,2020,0.41
Kota Ambon,2021,0.64
Kota Ambon,2022,0.55
Kota Ambon,2023,0.65
Kota Ambon,2024,0.71
Kota Balikpapan,2018,0.67
Kota Balikpapan,2019,0.26
Kota Balikpapan,2020,0.38
Kota Balikpapan,2021,0.5
Kota Balikpapan,2022,0.17
Kota Balikpapan,2023,0.25
Kota Balikpapan,2024,0.13
Kota Banda Aceh,2018,1.22
Kota Banda Aceh,2019,1.34
Kota Banda Aceh,2020,1.0
Kota Banda Aceh,2021,1.12
Kota Banda Aceh,2022,1.52
Kota Banda Aceh,2023,0.8
Kota Banda Aceh,2024,0.71
Kota Bandar Lampung,2018,1.38
Kota Bandar Lampung,2019,1.49
Kota Bandar Lampung,2020,1.61
Kota Bandar Lampung,2021,1.52
Kota Bandar Lampung,2022,1.34
Kota Bandar Lampung,2023,1.16
Kota Bandar Lampung,2024,0.97
Kota Bandung,2018,0.48
Kota Bandung,2019,0.53
Kota Bandung,2020,0.61
Kota Bandung,2021,0.78
Kota Bandung,2022,0.7
Kota Bandung,2023,0.59
Kota Bandung,2024,0.6
Kota Banjar,2018,0.79
Kota Banjar,2019,0.57
Kota Banjar,2020,0.7
Kota Banjar,2021,1.19
Kota Banjar,2022,1.02
Kota Banjar,2023,0.68
Kota Banjar,2024,1.03
Kota Banjar Baru,2018,0.52
Kota Banjar Baru,2019,0.86
Kota Banjar Baru,2020,0.48
Kota Banjar Baru,2021,0.46
Kota Banjar Baru,2022,0.17
Kota Banjar Baru,2023,0.62
Kota Banjar Baru,2024,0.45
Kota Banjarmasin,2018,0.81
Kota Banjarmasin,2019,0.81
Kota Banjarmasin,2020,0.54
Kota Banjarmasin,2021,0.56
Kota Banjarmasin,2022,0.72
Kota Banjarmasin,2023,0.55
Kota Banjarmasin,2024,0.49
Kota Baru,2018,0.51
Kota Baru,2019,0.72
Kota Baru,2020,0.6
Kota Baru,2021,0.37
Kota Baru,2022,0.59
Kota Baru,2023,0.92
Kota Baru,2024,0.45
Kota Batam,2018,0.81
Kota Batam,2019,0.53
Kota Batam,2020,0.7
Kota Batam,2021,0.89
Kota Batam,2022,0.76
Kota Batam,2023,0.59
Kota Batam,2024,0.65
Kota Batu,2018,0.55
Kota Batu,2019,0.3
Kota Batu,2020,0.59
Kota Batu,2021,0.39
Kota Batu,2022,0.64
Kota Batu,2023,0.35
Kota Batu,2024,0.46
Kota Baubau,2018,1.0
Kota Baubau,2019,1.05
Kota Baubau,2020,1.05
Kota Baubau,2021,1.05
Kota Baubau,2022,0.8
Kota Baubau,2023,1.21
Kota Baubau,2024,1.61
Kota Bekasi,2018,0.72
Kota Bekasi,2019,0.47
Kota Bekasi,2020,0.6
Kota Bekasi,2021,0.66
Kota Bekasi,2022,0.96
Kota Bekasi,2023,0.63
Kota Bekasi,2024,0.8
Kota Bengkulu,2018,4.53
Kota Bengkulu,2019,3.89
Kota Bengkulu,2020,3.51
Kota Bengkulu,2021,3.31
Kota Bengkulu,2022,3.21
Kota Bengkulu,2023,2.84
Kota Bengkulu,2024,2.39
Kota Bima,2018,1.55
Kota Bima,2019,1.58
Kota Bima,2020,0.6
Kota Bima,2021,1.12
Kota Bima,2022,1.28
Kota Bima,2023,1.5
Kota Bima,2024,1.44
Kota Binjai,2018,0.72
Kota Binjai,2019,0.27
Kota Binjai,2020,0.59
Kota Binjai,2021,0.59
Kota Binjai,2022,0.49
Kota Binjai,2023,0.48
Kota Binjai,2024,0.69
Kota Bitung,2018,1.08
Kota Bitung,2019,0.89
Kota Bitung,2020,0.86
Kota Bitung,2021,0.95
Kota Bitung,2022,0.76
Kota Bitung,2023,0.99
Kota Bitung,2024,1.11
Kota Blitar,2018,1.05
Kota Blitar,2019,1.14
Kota Blitar,2020,0.98
Kota Blitar,2021,1.06
Kota Blitar,2022,0.9
Kota Blitar,2023,0.81
Kota Blitar,2024,1.06
Kota Bogor,2018,0.77
Kota Bogor,2019,0.72
Kota Bogor,2020,1.08
Kota Bogor,2021,1.1
Kota Bogor,2022,1.27
Kota Bogor,2023,0.99
Kota Bogor,2024,0.95
Kota Bontang,2018,0.93
Kota Bontang,2019,0.42
Kota Bontang,2020,0.54
Kota Bontang,2021,0.47
Kota Bontang,2022,0.37
Kota Bontang,2023,0.39
Kota Bontang,2024,0.31
Kota Bukittinggi,2018,0.39
Kota Bukittinggi,2019,0.56
Kota Bukittinggi,2020,0.56
Kota Bukittinggi,2021,0.8
Kota Bukittinggi,2022,0.83
Kota Bukittinggi,2023,0.63
Kota Bukittinggi,2024,0.43
Kota Cilegon,2018,0.59
Kota Cilegon,2019,0.34
Kota Cilegon,2020,0.39
Kota Cilegon,2021,0.5
Kota Cilegon,2022,0.42
Kota Cilegon,2023,0.48
Kota Cilegon,2024,0.44
Kota Cimahi,2018,0.84
Kota Cimahi,2019,0.6
Kota Cimahi,2020,0.75
Kota Cimahi,2021,0.93
Kota Cimahi,2022,0.67
Kota Cimahi,2023,0.54
Kota Cimahi,2024,0.83
Kota Cirebon,2018,0.99
Kota Cirebon,2019,1.23
Kota Cirebon,2020,1.68
Kota Cirebon,2021,2.22
Kota Cirebon,2022,1.34
Kota Cirebon,2023,1.29
Kota Cirebon,2024,1.18
Kota Denpasar,2018,0.32
Kota Denpasar,2019,0.29
Kota Denpasar,2020,0.25
Kota Denpasar,2021,0.37
Kota Denpasar,2022,0.3
Kota Denpasar,2023,0.35
Kota Denpasar,2024,0.36
Kota Depok,2018,0.31
Kota Depok,2019,0.24
Kota Depok,2020,0.29
Kota Depok,2021,0.34
Kota Depok,2022,0.42
Kota Depok,2023,0.24
Kota Depok,2024,0.34
Kota Dumai,2018,0.46
Kota Dumai,2019,0.28
Kota Dumai,2020,0.31
Kota Dumai,2021,0.4
Kota Dumai,2022,0.36
Kota Dumai,2023,0.36
Kota Dumai,2024,0.2
Kota Gorontalo,2018,0.83
Kota Gorontalo,2019,0.68
Kota Gorontalo,2020,0.61
Kota Gorontalo,2021,0.79
Kota Gorontalo,2022,0.82
Kota Gorontalo,2023,0.62
Kota Gorontalo,2024,0.67
Kota Gunungsitoli,2018,2.4
Kota Gunungsitoli,2019,2.59
Kota Gunungsitoli,2020,1.74
Kota Gunungsitoli,2021,2.66
Kota Gunungsitoli,2022,2.24
Kota Gunungsitoli,2023,2.08
Kota Gunungsitoli,2024,1.99
Kota Jakarta Barat,2018,0.55
Kota Jakarta Barat,2019,0.46
Kota Jakarta Barat,2020,0.61
Kota Jakarta Barat,2021,0.56
Kota Jakarta Barat,2022,0.65
Kota Jakarta Barat,2023,0.59
Kota Jakarta Barat,2024,0.26
Kota Jakarta Pusat,2018,0.77
Kota Jakarta Pusat,2019,0.33
Kota Jakarta Pusat,2020,0.6
Kota Jakarta Pusat,2021,0.53
Kota Jakarta Pusat,2022,0.73
Kota Jakarta Pusat,2023,0.66
Kota Jakarta Pusat,2024,0.57
Kota Jakarta Selatan,2018,0.29
Kota Jakarta Selatan,2019,0.39
Kota Jakarta Selatan,2020,0.47
Kota Jakarta Selatan,2021,0.62
Kota Jakarta Selatan,2022,0.79
Kota Jakarta Selatan,2023,0.37
Kota Jakarta Selatan,2024,0.27
Kota Jakarta Timur,2018,0.36
Kota Jakarta Timur,2019,0.33
Kota Jakarta Timur,2020,0.35
Kota Jakarta Timur,2021,0.56
Kota Jakarta Timur,2022,0.56
Kota Jakarta Timur,2023,0.76
Kota Jakarta Timur,2024,0.33
Kota Jakarta Utara,2018,0.83
Kota Jakarta Utara,2019,0.63
Kota Jakarta Utara,2020,0.99
Kota Jakarta Utara,2021,0.72
Kota Jakarta Utara,2022,1.15
Kota Jakarta Utara,2023,1.3
Kota Jakarta Utara,2024,1.01
Kota Jambi,2018,1.26
Kota Jambi,2019,1.52
Kota Jambi,2020,1.47
Kota Jambi,2021,1.42
Kota Jambi,2022,1.19
Kota Jambi,2023,1.31
Kota Jambi,2024,0.96
Kota Jayapura,2018,2.55
Kota Jayapura,2019,2.27
Kota Jayapura,2020,1.98
Kota Jayapura,2021,2.53
Kota Jayapura,2022,2.51
Kota Jayapura,2023,2.12
Kota Jayapura,2024,2.35
Kota Kediri,2018,0.87
Kota Kediri,2019,1.23
Kota Kediri,2020,0.96
Kota Kediri,2021,1.03
Kota Kediri,2022,1.42
Kota Kediri,2023,1.08
Kota Kediri,2024,1.02
Kota Kendari,2018,0.7
Kota Kendari,2019,0.8
Kota Kendari,2020,0.67
Kota Kendari,2021,0.84
Kota Kendari,2022,0.73
Kota Kendari,2023,0.64
Kota Kendari,2024,0.7
Kota Kotamobagu,2018,0.57
Kota Kotamobagu,2019,0.68
Kota Kotamobagu,2020,0.84
Kota Kotamobagu,2021,1.32
Kota Kotamobagu,2022,0.61
Kota Kotamobagu,2023,0.59
Kota Kotamobagu,2024,0.5
Kota Kupang,2018,1.63
Kota Kupang,2019,1.6
Kota Kupang,2020,1.6
Kota Kupang,2021,0.9
Kota Kupang,2022,1.44
Kota Kupang,2023,1.07
Kota Kupang,2024,1.4
Kota Langsa,2018,1.34
Kota Langsa,2019,1.78
Kota Langsa,2020,1.6
Kota Langsa,2021,1.53
Kota Langsa,2022,2.17
Kota Langsa,2023,1.87
Kota Langsa,2024,1.52
Kota Lhokseumawe,2018,1.72
Kota Lhokseumawe,2019,1.51
Kota Lhokseumawe,2020,1.56
Kota Lhokseumawe,2021,1.87
Kota Lhokseumawe,2022,1.33
Kota Lhokseumawe,2023,2.23
Kota Lhokseumawe,2024,1.98
Kota Lubuklinggau,2018,2.05
Kota Lubuklinggau,2019,2.21
Kota Lubuklinggau,2020,2.2
Kota Lubuklinggau,2021,1.97
Kota Lubuklinggau,2022,1.5
Kota Lubuklinggau,2023,1.49
Kota Lubuklinggau,2024,1.43
Kota Madiun,2018,0.31
Kota Madiun,2019,0.5
Kota Madiun,2020,0.77
Kota Madiun,2021,0.67
Kota Madiun,2022,0.4
Kota Madiun,2023,0.65
Kota Madiun,2024,0.56
Kota Magelang,2018,1.07
Kota Magelang,2019,0.99
Kota Magelang,2020,1.12
Kota Magelang,2021,0.85
Kota Magelang,2022,0.47
Kota Magelang,2023,0.74
Kota Magelang,2024,0.92
Kota Makassar,2018,1.11
Kota Makassar,2019,0.6
Kota Makassar,2020,0.58
Kota Makassar,2021,0.76
Kota Makassar,2022,0.8
Kota Makassar,2023,0.62
Kota Makassar,2024,0.81
Kota Malang,2018,0.55
Kota Malang,2019,0.55
Kota Malang,2020,0.66
Kota Malang,2021,0.87
Kota Malang,2022,1.0
Kota Malang,2023,0.76
Kota Malang,2024,0.42
Kota Manado,2018,0.7
Kota Manado,2019,0.89
Kota Manado,2020,1.25
Kota Manado,2021,1.23
Kota Manado,2022,1.17
Kota Manado,2023,0.93
Kota Manado,2024,1.0
Kota Mataram,2018,1.17
Kota Mataram,2019,1.55
Kota Mataram,2020,1.86
Kota Mataram,2021,0.93
Kota Mataram,2022,1.18
Kota Mataram,2023,1.94
Kota Mataram,2024,2.15
Kota Medan,2018,1.5
Kota Medan,2019,1.16
Kota Medan,2020,1.08
Kota Medan,2021,1.1
Kota Medan,2022,1.13
Kota Medan,2023,0.92
Kota Medan,2024,1.09
Kota Metro,2018,1.61
Kota Metro,2019,1.14
Kota Metro,2020,0.94
Kota Metro,2021,1.27
Kota Metro,2022,0.87
Kota Metro,2023,1.12
Kota Metro,2024,0.77
Kota Mojokerto,2018,0.59
Kota Mojokerto,2019,0.59
Kota Mojokerto,2020,0.64
Kota Mojokerto,2021,0.84
Kota Mojokerto,2022,0.87
Kota Mojokerto,2023,0.78
Kota Mojokerto,2024,0.74
Kota Padang,2018,0.73
Kota Padang,2019,0.63
Kota Padang,2020,0.45
Kota Padang,2021,0.67
Kota Padang,2022,0.61
Kota Padang,2023,0.44
Kota Padang,2024,0.25
Kota Padang Panjang,2018,0.88
Kota Padang Panjang,2019,0.53
Kota Padang Panjang,2020,0.46
Kota Padang Panjang,2021,0.76
Kota Padang Panjang,2022,0.41
Kota Padang Panjang,2023,0.7
Kota Padang Panjang,2024,0.46
Kota Padangsidimpuan,2018,1.41
Kota Padangsidimpuan,2019,0.65
Kota Padangsidimpuan,2020,1.26
Kota Padangsidimpuan,2021,1.17
Kota Padangsidimpuan,2022,0.8
Kota Padangsidimpuan,2023,0.87
Kota Padangsidimpuan,2024,0.77
Kota Pagar Alam,2018,1.03
Kota Pagar Alam,2019,0.9
Kota Pagar Alam,2020,0.99
Kota Pagar Alam,2021,1.03
Kota Pagar Alam,2022,0.88
Kota Pagar Alam,2023,1.11
Kota Pagar Alam,2024,1.0
Kota Palangka Raya,2018,0.63
Kota Palangka Raya,2019,0.43
Kota Palangka Raya,2020,0.44
Kota Palangka Raya,2021,0.4
Kota Palangka Raya,2022,0.66
Kota Palangka Raya,2023,0.27
Kota Palangka Raya,2024,0.42
Kota Palembang,2018,1.7
Kota Palembang,2019,1.86
Kota Palembang,2020,1.67
Kota Palembang,2021,1.86
Kota Palembang,2022,2.25
Kota Palembang,2023,2.06
Kota Palembang,2024,1.66
Kota Palopo,2018,1.14
Kota Palopo,2019,1.15
Kota Palopo,2020,0.95
Kota Palopo,2021,1.17
Kota Palopo,2022,1.43
Kota Palopo,2023,1.1
Kota Palopo,2024,0.94
Kota Palu,2018,0.91
Kota Palu,2019,0.99
Kota Palu,2020,0.97
Kota Palu,2021,0.86
Kota Palu,2022,0.94
Kota Palu,2023,0.84
Kota Palu,2024,0.65
Kota Pangkal Pinang,2018,0.49
Kota Pangkal Pinang,2019,0.59
Kota Pangkal Pinang,2020,0.6
Kota Pangkal Pinang,2021,0.57
Kota Pangkal Pinang,2022,0.79
Kota Pangkal Pinang,2023,0.62
Kota Pangkal Pinang,2024,0.68
Kota Parepare,2018,0.75
Kota Parepare,2019,0.71
Kota Parepare,2020,0.94
Kota Parepare,2021,0.72
Kota Parepare,2022,0.56
Kota Parepare,2023,0.58
Kota Parepare,2024,0.72
Kota Pariaman,2018,0.68
Kota Pariaman,2019,0.49
Kota Pariaman,2020,0.49
Kota Pariaman,2021,0.36
Kota Pariaman,2022,0.46
Kota Pariaman,2023,0.48
Kota Pariaman,2024,0.46
Kota Pasuruan,2018,0.9
Kota Pasuruan,2019,0.91
Kota Pasuruan,2020,0.78
Kota Pasuruan,2021,1.15
Kota Pasuruan,2022,0.93
Kota Pasuruan,2023,1.26
Kota Pasuruan,2024,0.7
Kota Payakumbuh,2018,0.71
Kota Payakumbuh,2019,0.46
Kota Payakumbuh,2020,0.71
Kota Payakumbuh,2021,0.82
Kota Payakumbuh,2022,0.49
Kota Payakumbuh,2023,0.76
Kota Payakumbuh,2024,0.74
Kota Pekalongan,2018,1.01
Kota Pekalongan,2019,0.92
Kota Pekalongan,2020,1.28
Kota Pekalongan,2021,1.51
Kota Pekalongan,2022,0.9
Kota Pekalongan,2023,0.82
Kota Pekalongan,2024,0.84
Kota Pekanbaru,2018,0.49
Kota Pekanbaru,2019,0.31
Kota Pekanbaru,2020,0.48
Kota Pekanbaru,2021,0.19
Kota Pekanbaru,2022,0.33
Kota Pekanbaru,2023,0.38
Kota Pekanbaru,2024,0.34
Kota Pematang Siantar,2018,1.69
Kota Pematang Siantar,2019,0.7
Kota Pematang Siantar,2020,1.1
Kota Pematang Siantar,2021,1.12
Kota Pematang Siantar,2022,1.0
Kota Pematang Siantar,2023,1.0
Kota Pematang Siantar,2024,1.26
Kota Pontianak,2018,0.62
Kota Pontianak,2019,0.7
Kota Pontianak,2020,0.5
Kota Pontianak,2021,0.68
Kota Pontianak,2022,0.49
Kota Pontianak,2023,0.49
Kota Pontianak,2024,0.58
Kota Prabumulih,2018,1.69
Kota Prabumulih,2019,1.37
Kota Prabumulih,2020,1.27
Kota Prabumulih,2021,1.2
Kota Prabumulih,2022,1.37
Kota Prabumulih,2023,1.48
Kota Prabumulih,2024,1.47
Kota Probolinggo,2018,0.89
Kota Probolinggo,2019,1.04
Kota Probolinggo,2020,1.19
Kota Probolinggo,2021,0.9
Kota Probolinggo,2022,1.04
Kota Probolinggo,2023,1.13
Kota Probolinggo,2024,0.98
Kota Sabang,2018,2.64
Kota Sabang,2019,2.71
Kota Sabang,2020,1.94
Kota Sabang,2021,2.8
Kota Sabang,2022,3.3
Kota Sabang,2023,3.17
Kota Sabang,2024,2.9
Kota Salatiga,2018,0.69
Kota Salatiga,2019,0.83
Kota Salatiga,2020,0.53
Kota Salatiga,2021,0.8
Kota Salatiga,2022,0.66
Kota Salatiga,2023,0.75
Kota Salatiga,2024,0.61
Kota Samarinda,2018,0.49
Kota Samarinda,2019,0.57
Kota Samarinda,2020,0.72
Kota Samarinda,2021,1.07
Kota Samarinda,2022,0.59
Kota Samarinda,2023,0.75
Kota Samarinda,2024,0.54
Kota Sawah Lunto,2018,0.27
Kota Sawah Lunto,2019,0.23
Kota Sawah Lunto,2020,0.07
Kota Sawah Lunto,2021,0.33
Kota Sawah Lunto,2022,0.34
Kota Sawah Lunto,2023,0.17
Kota Sawah Lunto,2024,0.3
Kota Semarang,2018,0.58
Kota Semarang,2019,0.57
Kota Semarang,2020,0.68
Kota Semarang,2021,0.67
Kota Semarang,2022,0.56
Kota Semarang,2023,0.54
Kota Semarang,2024,0.59
Kota Serang,2018,0.6
Kota Serang,2019,0.51
Kota Serang,2020,0.57
Kota Serang,2021,0.92
Kota Serang,2022,0.77
Kota Serang,2023,0.75
Kota Serang,2024,0.75
Kota Sibolga,2018,2.23
Kota Sibolga,2019,1.26
Kota Sibolga,2020,1.49
Kota Sibolga,2021,2.04
Kota Sibolga,2022,1.4
Kota Sibolga,2023,1.49
Kota Sibolga,2024,1.7
Kota Singkawang,2018,0.7
Kota Singkawang,2019,0.53
Kota Singkawang,2020,0.48
Kota Singkawang,2021,0.73
Kota Singkawang,2022,0.87
Kota Singkawang,2023,0.74
Kota Singkawang,2024,0.47
Kota Solok,2018,0.42
Kota Solok,2019,0.29
Kota Solok,2020,0.27
Kota Solok,2021,0.28
Kota Solok,2022,0.58
Kota Solok,2023,0.19
Kota Solok,2024,0.34
Kota Sorong,2018,2.91
Kota Sorong,2019,3.13
Kota Sorong,2020,2.81
Kota Sorong,2021,3.64
Kota Sorong,2022,2.88
Kota Sorong,2023,3.98
Kota Sorong,2024,3.07
Kota Subulussalam,2018,2.67
Kota Subulussalam,2019,3.15
Kota Subulussalam,2020,2.27
Kota Subulussalam,2021,2.29
Kota Subulussalam,2022,2.45
Kota Subulussalam,2023,2.19
Kota Subulussalam,2024,2.11
Kota Sukabumi,2018,1.09
Kota Sukabumi,2019,1.08
Kota Sukabumi,2020,1.17
Kota Sukabumi,2021,1.39
Kota Sukabumi,2022,1.27
Kota Sukabumi,2023,1.21
Kota Sukabumi,2024,0.88
Kota Sungai Penuh,2018,0.26
Kota Sungai Penuh,2019,0.25
Kota Sungai Penuh,2020,0.62
Kota Sungai Penuh,2021,0.43
Kota Sungai Penuh,2022,0.28
Kota Sungai Penuh,2023,0.51
Kota Sungai Penuh,2024,0.33
Kota Surabaya,2018,0.81
Kota Surabaya,2019,0.62
Kota Surabaya,2020,0.87
Kota Surabaya,2021,0.75
Kota Surabaya,2022,0.69
Kota Surabaya,2023,0.71
Kota Surabaya,2024,0.65
Kota Surakarta,2018,1.47
Kota Surakarta,2019,1.6
Kota Surakarta,2020,1.51
Kota Surakarta,2021,1.83
Kota Surakarta,2022,1.07
Kota Surakarta,2023,1.0
Kota Surakarta,2024,1.14
Kota Tangerang,2018,0.84
Kota Tangerang,2019,0.64
Kota Tangerang,2020,0.74
Kota Tangerang,2021,1.08
Kota Tangerang,2022,0.72
Kota Tangerang,2023,0.88
Kota Tangerang,2024,0.94
Kota Tangerang Selatan,2018,0.22
Kota Tangerang Selatan,2019,0.27
Kota Tangerang Selatan,2020,0.31
Kota Tangerang Selatan,2021,0.34
Kota Tangerang Selatan,2022,0.32
Kota Tangerang Selatan,2023,0.45
Kota Tangerang Selatan,2024,0.27
Kota Tanjung Balai,2018,2.25
Kota Tanjung Balai,2019,1.69
Kota Tanjung Balai,2020,1.69
Kota Tanjung Balai,2021,1.72
Kota Tanjung Balai,2022,1.81
Kota Tanjung Balai,2023,1.34
Kota Tanjung Balai,2024,1.6
Kota Tanjung Pinang,2018,1.49
Kota Tanjung Pinang,2019,1.15
Kota Tanjung Pinang,2020,1.58
Kota Tanjung Pinang,2021,1.75
Kota Tanjung Pinang,2022,1.64
Kota Tanjung Pinang,2023,1.18
Kota Tanjung Pinang,2024,0.86
Kota Tarakan,2018,0.99
Kota Tarakan,2019,0.7
Kota Tarakan,2020,0.77
Kota Tarakan,2021,1.01
Kota Tarakan,2022,0.73
Kota Tarakan,2023,0.79
Kota Tarakan,2024,0.5
Kota Tasikmalaya,2018,1.52
Kota Tasikmalaya,2019,1.98
Kota Tasikmalaya,2020,1.75
Kota Tasikmalaya,2021,2.42
Kota Tasikmalaya,2022,2.34
Kota Tasikmalaya,2023,1.62
Kota Tasikmalaya,2024,1.35
Kota Tebing Tinggi,2018,1.91
Kota Tebing Tinggi,2019,1.47
Kota Tebing Tinggi,2020,1.74
Kota Tebing Tinggi,2021,1.37
Kota Tebing Tinggi,2022,1.14
Kota Tebing Tinggi,2023,1.49
Kota Tebing Tinggi,2024,1.25
Kota Tegal,2018,1.23
Kota Tegal,2019,1.15
Kota Tegal,2020,1.38
Kota Tegal,2021,1.04
Kota Tegal,2022,1.15
Kota Tegal,2023,0.86
Kota Tegal,2024,1.34
Kota Ternate,2018,0.26
Kota Ternate,2019,0.62
Kota Ternate,2020,0.38
Kota Ternate,2021,0.53
Kota Ternate,2022,0.41
Kota Ternate,2023,0.56
Kota Ternate,2024,0.78
